DiscYear,FieldGOR,OrigOil,OrigGas ,OrigBOE,CumProdOil,CumProdGas,CumProdBOE,RemOil,RemGas,RemBOE,WaterDepthCat,Field    name
1966,50810,7.3,370.3,73.2,7.3,370.3,73.2,0,0,0,SHALLOW,ST196
1956,20444,15.7,321.4,72.9,15.7,321.4,72.9,0,0,0,SHALLOW,ST086
1966,46269,7.9,364,72.6,7.9,364,72.6,0,0,0,SHALLOW,CP000
2000,828,63.1,52.3,72.4,59.3,49.5,68.1,3.8,2.8,4.3,SHALLOW,MP061
1982,29948,11.3,339.9,71.8,11.3,339.9,71.8,0,0,0,SHALLOW,VR024
1948,9649,26.2,254.5,71.6,25.8,251.5,70.6,0.4,3,1,SHALLOW,SS072
1963,108771,3.5,381.6,71.4,3.4,374.7,70.1,0.1,6.9,1.3,SHALLOW,SM079
1977,114199,3.3,381.9,71.3,3.3,381.9,71.3,0,0,0,SHALLOW,WC205
1949,55076,6.6,362.2,71,6.6,362.2,71,0,0,0,SHALLOW,EI077
1968,69476,5.3,369,71,5.3,369,71,0,0,0,SHALLOW,WD035
1980,5939,34.4,204.1,70.7,33.2,188.2,66.6,1.2,15.9,4.1,SHALLOW,EW305
1991,182255,2.1,384.4,70.5,2.1,382,70.1,0,2.4,0.4,SHALLOW,WC076
1977,562422,0.7,391.3,70.3,0.7,391.3,70.3,0,0,0,DEEP,MC354
1965,12545,21.7,272.7,70.3,21.1,265.7,68.4,0.6,7,1.9,SHALLOW,SM009
1978,999999,0.2,392,70,0.2,392,70,0,0,0,SHALLOW,BA020A
2005,159,67.8,10.7,69.7,16.4,2.5,16.9,51.4,8.2,52.8,ULTRA-DEEP,WR508
1981,3879,41.7,158,69.8,36.4,138.9,61.1,5.3,19.1,8.7,DEEP,GC184
1972,916565,0.4,387.8,69.4,0.4,387,69.3,0,0.8,0.1,SHALLOW,SS113A
1957,4992,36.7,183.2,69.3,36.7,183.2,69.3,0,0,0,SHALLOW,VR120
1960,737496,0.5,384,68.9,0.5,382.4,68.6,0,1.6,0.3,SHALLOW,SS158
1974,6460,31.8,205.3,68.3,31.5,204.1,67.8,0.3,1.2,0.5,SHALLOW,VR331
1966,9348,25.3,236.7,67.4,24.4,233.2,65.9,0.9,3.5,1.5,SHALLOW,VR265
1972,145552,2.5,362.8,67.1,2.5,361.2,66.8,0,1.6,0.3,SHALLOW,GI076
1948,11923,21.1,252,66,21.1,252,66,0,0,0,SHALLOW,EI045
1984,3254,41.8,136,66,40.4,130.9,63.7,1.4,5.1,2.3,SHALLOW,ST295
1979,7602,27.9,212.2,65.6,27.7,211.7,65.3,0.2,0.5,0.3,SHALLOW,MP151
1960,180975,1.9,353.9,64.9,1.9,352.2,64.6,0,1.7,0.3,SHALLOW,WC294
1972,4110,37.5,154,64.9,36.8,153.4,64.1,0.7,0.6,0.8,SHALLOW,MP140
2007,95,63.3,6,64.3,17.3,1.8,17.6,46,4.2,46.7,ULTRA-DEEP,WR627
1949,81428,4.1,337.1,64.1,4.1,337.1,64.1,0,0,0,SHALLOW,WC149
2001,1017,54.1,55,63.9,42.4,42.1,49.9,11.7,12.9,14,DEEP,GC339
1977,999999,0.1,357.8,63.7,0.1,357.8,63.7,0,0,0,SHALLOW,MI665
1973,4143,36.5,151.1,63.4,36.3,150.1,63,0.2,1,0.4,SHALLOW,SS291
1993,1953,47.1,91.9,63.4,37.3,74.4,50.5,9.8,17.5,12.9,SHALLOW,SS349
1970,28677,10.3,296.6,63.1,10.1,295.9,62.8,0.2,0.7,0.3,SHALLOW,MP133
1958,98411,3.4,334.6,62.9,3.4,334.6,62.9,0,0,0,SHALLOW,HI140
1985,71688,4.6,327.6,62.8,4.5,326.2,62.5,0.1,1.4,0.3,SHALLOW,HI196
2003,3241,39.7,128.8,62.7,27.8,71.1,40.5,11.9,57.7,22.2,DEEP,MC682
1988,14362,17.6,252.4,62.5,17.6,252.4,62.5,0,0,0,SHALLOW,GB189
1990,1873,36,146.8,62.1,28.7,54.2,38.3,7.3,92.6,23.8,DEEP,MC243
1999,2956,40.4,119.4,61.7,37.8,102.2,56,2.6,17.2,5.7,DEEP,GB783
1974,8100,25.2,204.3,61.6,25.2,204.3,61.6,0,0,0,SHALLOW,HI537A
2000,905,53,47.9,61.4,14.2,20.6,17.8,38.8,27.3,43.6,DEEP,EW878
1974,50770,6.1,309.3,61.1,6,308.1,60.8,0.1,1.2,0.3,SHALLOW,HI552A
1960,161219,2.1,331.3,61,2.1,331.3,61,0,0,0,SHALLOW,WC165
1949,12563,18.6,233.3,60.1,18.6,233.3,60.1,0,0,0,SHALLOW,EI089
1974,363310,0.9,331,59.8,0.9,331,59.8,0,0,0,SHALLOW,HI309A
1967,58696,5.2,306.1,59.7,5.2,306.1,59.7,0,0,0,SHALLOW,SS259
1975,259290,1.3,328.6,59.7,1.3,328.6,59.7,0,0,0,SHALLOW,MC148
1975,40040,7.3,291.5,59.2,7.3,291.5,59.2,0,0,0,SHALLOW,EI385
1965,13141,17.7,232.1,59,17.4,231.9,58.7,0.3,0.2,0.3,SHALLOW,SS239
1966,21883,12,263.9,59.1,11.7,258.8,57.8,0.3,5.1,1.3,SHALLOW,SM142
1974,999999,0,331.8,59,0,331.8,59,0,0,0,SHALLOW,HI343A
1965,432699,0.7,322.7,58.2,0.7,322.7,58.2,0,0,0,SHALLOW,WC280
1974,77919,3.9,304.3,58,3.9,304.3,58,0,0,0,SHALLOW,EI380
1989,870,49.9,43.5,57.7,45.6,40.3,52.8,4.3,3.2,4.9,DEEP,EW921
1964,4746,31.2,148,57.5,30.2,146.4,56.2,1,1.6,1.3,SHALLOW,VR273
1962,49478,5.7,286,56.6,5.3,267.6,52.9,0.4,18.4,3.7,SHALLOW,MP108
1973,118386,2.5,300.9,56.1,2.1,269.1,50,0.4,31.8,6.1,SHALLOW,WC507
1979,58976,4.9,287.2,56,4.9,287.2,56,0,0,0,SHALLOW,EI108
1961,117794,2.5,299.6,55.9,2.4,295.2,55,0.1,4.4,0.9,SHALLOW,SS189
1962,7135,24.6,175.4,55.8,24.4,174.1,55.4,0.2,1.3,0.4,SHALLOW,PL023
